name,name_pt,name_en,barcode,brands,categories,calories_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sodium_100g,sugar_100g,saturated_fat_100g,countries,source
TABASCO Molho de Pimenta Jalapeño,TABASCO Molho de Pimenta Jalapeño,,0011210009530,TABASCO,en:condiments; en:sauces; en:hot-sauces; pt:groceries,,,,,,,,,en:brazil; en:morocco,openfoodfacts
TABASCO Molho de Pimenta Vermelha Original,TABASCO Molho de Pimenta Vermelha Original,Tabasco vermelho,0011210115606,TABASCO,en:condiments; en:sauces; pt:molhos-picantes,,,,,,,,,en:brazil,openfoodfacts
Chex rice,,Chex rice,0016000487956,General Mills,en:plant-based-foods-and-beverages; en:plant-based-foods; en:breakfasts; en:cereals-and-potatoes; en:cereals-and-their-products,,,,,,,,,en:brazil; en:united-kingdom,openfoodfacts
Feijão Preto Combrasil,Feijão Preto Combrasil,Feijão Preto Combrasil,00112846,COMBRASIL,,,,,,,,,,en:brazil,openfoodfacts
Puff cheese flavored snacks,,Puff cheese flavored snacks,0028400435031,Cheetos,en:snacks; en:salty-snacks; en:appetizers; en:biscuits-and-crackers; en:crackers-appetizers,,,,,,,,,en:brazil; en:france,openfoodfacts
Peter Pan Peanut Butter Crunchy,Peter Pan Peanut Butter Crunchy,Peanut butter,0045300000558,ConAgra Foods,en:plant-based-foods-and-beverages; en:plant-based-foods; en:legumes-and-their-products; en:breakfasts; en:spreads,,,,,,,,,en:brazil; en:france; en:united-states,openfoodfacts
Natural Spring Water,,Natural Spring Water,0075720431151,Poland Spring,en:beverages; en:waters; en:spring-waters; en:mineral-waters,,,,,,,,,en:brazil; en:france; en:united-states,openfoodfacts
Whiskey 1 Litre,,Whiskey 1 Litre,0082184089996,"Jack Daniels, Jack Daniel's",,,,,,,,,,en:brazil,openfoodfacts
Margarina,,Margarina,04603177,Delicia Supreme,,,,,,,,,,en:brazil,openfoodfacts
Chips,Chips,,0605388888150,"Great Value,Wal Mart Canada,Super Pufft Snacks",pt:salgadinho-de-batata,,,,,,,,,en:brazil,openfoodfacts
Benefiber,Benefiber,Benefiber,0886790018872,Novartis,,,,,,,,,,en:brazil,openfoodfacts
"Vegan Vitamin B12 Sublingual Deva Vegan Tablets, 90 CT",,Vegan B12,0895634000218,Deva,,,,,,,,,,en:brazil,openfoodfacts
Néstor,Néstor,"Dark chocolate covered pretzels with peppermint pieces, peppermint",11117780,Nestlé,en:snacks; en:salty-snacks; en:appetizers; en:biscuits-and-crackers; en:crackers-appetizers,,,,,,,,,en:brazil; en:france; en:morocco,openfoodfacts
Queijo Parmesão Ralado,Queijo Parmesão Ralado,,11794752,Queijos Scala,en:dairies; en:fermented-foods; en:fermented-milk-products; en:cheeses; en:grated-cheese,,,,,,,,,en:brazil,openfoodfacts
mega soy,,mega soy,18989407,,,,,,,,,,,en:brazil,openfoodfacts
Moelleux de veau,,,2000000038827,Balkis,en:dairies; en:fermented-foods; en:fermented-milk-products; en:cheeses,,,,,,,,,en:brazil,openfoodfacts
pão francês,,pão francês,2006600003333,Bramil,,,,,,,,,,en:brazil,openfoodfacts
Bonbon à la Sève de Pin,,Bonbons à la sève de pin,3014680009175,"La Vosgienne, Mondelez",en:snacks; en:sweet-snacks; en:cocoa-and-its-products; en:confectioneries; en:chocolate-candies,,,,,,,,,en:belgium; en:brazil; en:canada,openfoodfacts
Chocolate meio amargo com framboesa,Chocolate meio amargo com framboesa,Exe. Ras. Intense,3046920010603,Lindt,en:snacks; en:sweet-snacks; en:cocoa-and-its-products; en:chocolates; en:dark-chocolates,,,,,,,,,en:australia; en:austria; en:brazil,openfoodfacts
Creme Chantilly Président,Creme Chantilly Président,,3155250349793,President,en:dairies; en:creams; en:uht-creams; en:squirty-creams; en:whipped-cream-under-pressure-uht,,,,,,,,,en:brazil; en:france; en:hong-kong,openfoodfacts
Ritter - barra de cereais - brownie,,Ritter - barra de cereais - brownie,3229781871556,Ritter,,,,,,,,,,en:brazil,openfoodfacts
Ervilhas Finas Congeladas,Ervilhas Finas Congeladas,,3248451061912,D'Aucy,en:plant-based-foods-and-beverages; en:beverages; en:plant-based-foods; en:legumes-and-their-products; en:dairy-substitutes,,,,,,,,,en:brazil,openfoodfacts
Maayane tarama,,,3700029205116,Maayane,en:seafood; en:spreads; en:salted-spreads; en:taramasalata,,,,,,,,,en:brazil; en:france,openfoodfacts
Nestlé Pureza Vital Sem Gás 510ML,Nestlé Pureza Vital Sem Gás 510ML,,3700123302360,Nestlé,en:beverages; en:waters; en:spring-waters; en:mineral-waters,,,,,,,,,en:brazil,openfoodfacts
Mangue du Pérou,,,3760091729460,Ethiquable,en:plant-based-foods-and-beverages; en:beverages; en:plant-based-beverages; en:fruit-based-beverages; en:juices-and-nectars,,,,,,,,,en:brazil; en:france,openfoodfacts
