name,aliases,category,source,external_id,search_text,calories_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sodium_100g,sugar_100g,saturated_fat_100g,brands,original_name_en
Arroz frito com carne bovina,{},outros,fatsecret,5102,arroz frito com carne bovina,175,6.18,21.18,7.07,0.7,0.326,0.71,1.62,,Beef Fried Rice
Arroz branco parboilizado (sem adição de gordura no cozimento),{},outros,fatsecret,4506,arroz branco parboilizado (sem adição de gordura no cozimento),122,2.88,25.83,0.37,0.9,0.331,0.11,0.07,,Converted White Rice (Fat Not Added in Cooking)
Arroz branco pegajoso cozido,{},outros,fatsecret,17456367,arroz branco pegajoso cozido,147.62,2.86,33.81,0.48,3,0.01,0,0,,Cooked Sticky White Rice
Arroz branco cozido com molho de feijão preto,{},outros,fatsecret,42667724,arroz branco cozido com molho de feijão preto,120,1.82,26.18,1.09,8,0.97,4,0.5,,Cooked White Rice with Black Bean Sauce
Arroz branco cozido com arroz preto,{},outros,fatsecret,75983565,arroz branco cozido com arroz preto,152.38,2.86,35.24,0,1,0,0,0,,Cooked White Rice with Black Rice
Arroz branco cozido com arroz integral germinado,{},outros,fatsecret,71737264,arroz branco cozido com arroz integral germinado,133.33,3.33,28.57,0.71,11,0.005,0,0,,Cooked White Rice with Sprouted Brown Rice
Arroz doce cremoso,{},outros,fatsecret,5151,arroz doce cremoso,122,2.97,22.1,2.09,0.3,0.407,1.38,0.66,,Creamed Rice
Arroz frito,{},outros,fatsecret,5099,arroz frito,168,6.3,21.06,6.23,0.7,0.415,0.76,1.14,,Fried Rice
Arroz branco instantâneo,{},outros,fatsecret,4504,arroz branco instantâneo,116,2.16,24.87,0.5,0.6,0.353,0,0.02,,Instant White Rice
Arroz branco instantâneo (com adição de gordura no cozimento),{},outros,fatsecret,4531,arroz branco instantâneo (com adição de gordura no cozimento),132,2.11,24.24,2.66,0.6,0.361,0,0.42,,Instant White Rice (Fat Added in Cooking)
Arroz branco instantâneo (sem adição de gordura no cozimento),{},outros,fatsecret,4505,arroz branco instantâneo (sem adição de gordura no cozimento),116,2.16,24.87,0.5,0.6,0.353,0,0.02,,Instant White Rice (Fat Not Added in Cooking)
Arroz jasmim (cozido),{},outros,fatsecret,17905017,arroz jasmim (cozido),170,3.81,32.14,2.5,0.5,0.135,0.05,0.49,,Jasmine Rice (Cooked)
Arroz frito sem carne,{},outros,fatsecret,5098,arroz frito sem carne,151,4.23,20.97,5.48,1,0.425,1.12,0.93,,Meatless Fried Rice
Arroz branco orgânico cozido,{},outros,fatsecret,3344762,arroz branco orgânico cozido,142.86,2.86,30.48,0,0,0.002,0,0,,Organic Cooked White Rice
Arroz frito com carne de porco,{},outros,fatsecret,5101,arroz frito com carne de porco,169,6.03,21.18,6.5,0.7,0.302,0.71,1.42,,Pork Fried Rice
Puerto Rican Style White Rice (Arroz Blanco),{},outros,fatsecret,4529,puerto rican style white rice (arroz blanco),215,3.26,36.5,5.79,0.6,0.472,0.06,0.79,,
Arroz (com adição de gordura no cozimento),{},outros,fatsecret,4528,arroz (com adição de gordura no cozimento),145,2.59,27.16,2.54,0.4,0.374,0.05,0.5,,Rice (Fat Added in Cooking)
Arroz com molho,{},outros,fatsecret,5149,arroz com molho,108,2.95,21.7,0.83,0.4,0.47,0.09,0.36,,Rice with Gravy
Arroz doce com mel,{},outros,fatsecret,4509,arroz doce com mel,140,2.52,31.24,0.26,0.4,0.343,5.07,0.07,,Sweet Rice with Honey
Arroz branco (com adição de gordura no cozimento),{},outros,fatsecret,4530,arroz branco (com adição de gordura no cozimento),145,2.59,27.16,2.54,0.4,0.374,0.05,0.5,,White Rice (Fat Added in Cooking)
Arroz branco (sem adição de gordura no cozimento),{},outros,fatsecret,4503,arroz branco (sem adição de gordura no cozimento),129,2.66,27.9,0.28,0.4,0.365,0.05,0.08,,White Rice (Fat Not Added in Cooking)
"Arroz branco (glutinoso, cozido)",{},outros,fatsecret,39729,"arroz branco (glutinoso, cozido)",97,2.02,21.09,0.19,1,0.005,0.05,0.04,,"White Rice (Glutinous, Cooked)"
"Arroz branco (grão longo, cozido)",{},outros,fatsecret,39719,"arroz branco (grão longo, cozido)",130,2.69,28.17,0.28,0.4,0.001,0.05,0.08,,"White Rice (Long-Grain, Cooked)"
"Arroz branco (grão longo, seco, enriquecido, pré-cozido ou instantâneo, preparado)",{},outros,fatsecret,39723,"arroz branco (grão longo, seco, enriquecido, pré-cozido ou instantâneo, preparado)",117,2.18,25.1,0.5,0.6,0.004,0,0.02,,"White Rice (Long-Grain, Dry, Enriched, Precooked or Instant, Prepared)"
"Arroz branco (grão longo, enriquecido, parboilizado, cozido)",{},outros,fatsecret,39721,"arroz branco (grão longo, enriquecido, parboilizado, cozido)",123,2.91,26.05,0.37,0.9,0.002,0.11,0.07,,"White Rice (Long-Grain, Enriched, Parboiled, Cooked)"
"Arroz branco (grão longo, não enriquecido, parboilizado, cozido)",{},outros,fatsecret,39824,"arroz branco (grão longo, não enriquecido, parboilizado, cozido)",123,2.91,26.05,0.37,0.9,0.002,0.11,0.07,,"White Rice (Long-Grain, Unenriched, Parboiled, Cooked)"
"Arroz branco (grão longo, com sal, cozido)",{},outros,fatsecret,39836,"arroz branco (grão longo, com sal, cozido)",130,2.69,28.17,0.28,0.4,0.382,0.05,0.08,,"White Rice (Long-Grain, with Salt, Cooked)"
"Arroz branco (grão médio, cozido)",{},outros,fatsecret,39725,"arroz branco (grão médio, cozido)",130,2.38,28.59,0.21,0.3,0,,0.06,,"White Rice (Medium-Grain, Cooked)"
"Arroz branco (grão médio, não enriquecido, cozido)",{},outros,fatsecret,39826,"arroz branco (grão médio, não enriquecido, cozido)",130,2.38,28.59,0.21,0,0,,0.06,,"White Rice (Medium-Grain, Unenriched, Cooked)"
"Arroz branco (grão curto, cozido)",{},outros,fatsecret,39727,"arroz branco (grão curto, cozido)",130,2.36,28.73,0.19,0,0,,0.05,,"White Rice (Short-Grain, Cooked)"
"Arroz branco (grão curto, não enriquecido, cozido)",{},outros,fatsecret,39828,"arroz branco (grão curto, não enriquecido, cozido)",130,2.36,28.73,0.19,0,0,,0.05,,"White Rice (Short-Grain, Unenriched, Cooked)"
Arroz branco (sem sal),{},outros,fatsecret,92129547,arroz branco (sem sal),130,2.69,28.17,0.28,0.4,0.001,0.05,0.08,,White Rice (Unsalted)
Arroz branco com molho de tomate,{},outros,fatsecret,5139,arroz branco com molho de tomate,104,2.18,20.66,1.27,0.8,0.5,1.45,0.25,,White Rice with Tomato Sauce
