name,aliases,category,source,external_id,search_text,calories_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sodium_100g,sugar_100g,saturated_fat_100g,brands,original_name_en
Natural Spring Water,{},bebidas,ai_estimated,0075720431151,natural spring water,,,,,,,,,Poland Spring,Natural Spring Water
Nestlé Pureza Vital Sem Gás 510ML,{},bebidas,ai_estimated,3700123302360,nestlé pureza vital sem gás 510ml,,,,,,,,,Nestlé,
2.0,{},bebidas,ai_estimated,7891000053508,2.0,,,,,,,,,"Nestlé,Nescau",
Bonafont Água Leve,{},bebidas,ai_estimated,7891025102113,bonafont água leve,,,,,,,,,Bonafont,
Matte Leão,{},bebidas,ai_estimated,7891098000026,matte leão,,,,,,,,,Leao Fuze,
Água Mineral Natural Crystal sem Gás,{},bebidas,ai_estimated,7894900530056,água mineral natural crystal sem gás,,,,,,,,,Coca Cola Brasil,
AGUA MIN CRYSTAL C/GAS 50OML,{},bebidas,ai_estimated,7894900531008,agua min crystal c/gas 50oml,,,,,,,,,Coca-Cola,
Coca Cola Zero Açúcar,{},bebidas,ai_estimated,7894900700015,coca cola zero açúcar,,,,,,,,,Coca-Cola,Coca-Cola Zero Açúcar
Água Mineral São Lourenço Com Gás,{},bebidas,ai_estimated,7896062801050,água mineral são lourenço com gás,,,,,,,,,"São Lourenço,Nestlé Waters Brasil,Nestlé",
Água Mineral São Lourenço Sem Gás,{},bebidas,ai_estimated,7896062802354,água mineral são lourenço sem gás,,,,,,,,,"São Lourenço,Nestlé Waters Brasil,Nestlé",
Água Mineral Minalba Com Gás,{},bebidas,ai_estimated,7896065870497,água mineral minalba com gás,,,,,,,,,"Minalba,Minalba Alimentos e Bebidas",
Água Mineral Natural sem gás,{},bebidas,ai_estimated,7896065880069,água mineral natural sem gás,,,,,,,,,Minalba,Água Mineral Natural sem gás
Água Mineral Petrópolis Sem Gás,{},bebidas,ai_estimated,7896279000567,água mineral petrópolis sem gás,,,,,,,,,Petrópolis Paulista,
Água Mineral Natural Petrópolis Com Gás,{},bebidas,ai_estimated,7896279000574,água mineral natural petrópolis com gás,,,,,,,,,Petrópolis Paulista,
Água Mineral Natural Passa Quatro Sem Gás,{},bebidas,ai_estimated,7896984205004,água mineral natural passa quatro sem gás,,,,,,,,,Passa Quatro,
Coca-Cola Zero,{},bebidas,ai_estimated,78912892,coca-cola zero,,,,,,,,,Coca-Cola,
Fonte Levissima,{},bebidas,ai_estimated,7896062800015,fonte levissima,,,,,,,,,,
Agua Bonafont 500 ml,{},bebidas,ai_estimated,7891025110941,agua bonafont 500 ml,,,,,,,,,,Agua Bonafont 500 ml
Adoçante Líquido Sacarina Adocyl Frasco 100ml,{},bebidas,ai_estimated,7891104393104,adoçante líquido sacarina adocyl frasco 100ml,,,,,,,,,ADOCYL,
