name,aliases,category,source,external_id,search_text,calories_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sodium_100g,sugar_100g,saturated_fat_100g,brands,original_name_en
Beef Fried Rice,{},outros,fatsecret,5102,beef fried rice,175,6.18,21.18,7.07,0.7,0.326,0.71,1.62,,
Converted White Rice (Fat Not Added in Cooking),{},outros,fatsecret,4506,converted white rice (fat not added in cooking),122,2.88,25.83,0.37,0.9,0.331,0.11,0.07,,
Cooked Sticky White Rice,{},outros,fatsecret,17456367,cooked sticky white rice,147.62,2.86,33.81,0.48,3,0.01,0,0,,
Cooked White Rice with Black Bean Sauce,{},outros,fatsecret,42667724,cooked white rice with black bean sauce,120,1.82,26.18,1.09,8,0.97,4,0.5,,
Cooked White Rice with Black Rice,{},outros,fatsecret,75983565,cooked white rice with black rice,152.38,2.86,35.24,0,1,0,0,0,,
Cooked White Rice with Sprouted Brown Rice,{},outros,fatsecret,71737264,cooked white rice with sprouted brown rice,133.33,3.33,28.57,0.71,11,0.005,0,0,,
Creamed Rice,{},outros,fatsecret,5151,creamed rice,122,2.97,22.1,2.09,0.3,0.407,1.38,0.66,,
Fried Rice,{},outros,fatsecret,5099,fried rice,168,6.3,21.06,6.23,0.7,0.415,0.76,1.14,,
Instant White Rice,{},outros,fatsecret,4504,instant white rice,116,2.16,24.87,0.5,0.6,0.353,0,0.02,,
Instant White Rice (Fat Added in Cooking),{},outros,fatsecret,4531,instant white rice (fat added in cooking),132,2.11,24.24,2.66,0.6,0.361,0,0.42,,
Instant White Rice (Fat Not Added in Cooking),{},outros,fatsecret,4505,instant white rice (fat not added in cooking),116,2.16,24.87,0.5,0.6,0.353,0,0.02,,
Jasmine Rice (Cooked),{},outros,fatsecret,17905017,jasmine rice (cooked),170,3.81,32.14,2.5,0.5,0.135,0.05,0.49,,
Meatless Fried Rice,{},outros,fatsecret,5098,meatless fried rice,151,4.23,20.97,5.48,1,0.425,1.12,0.93,,
Organic Cooked White Rice,{},outros,fatsecret,3344762,organic cooked white rice,142.86,2.86,30.48,0,0,0.002,0,0,,
Pork Fried Rice,{},outros,fatsecret,5101,pork fried rice,169,6.03,21.18,6.5,0.7,0.302,0.71,1.42,,
Puerto Rican Style White Rice (Arroz Blanco),{},outros,fatsecret,4529,puerto rican style white rice (arroz blanco),215,3.26,36.5,5.79,0.6,0.472,0.06,0.79,,
Rice (Fat Added in Cooking),{},outros,fatsecret,4528,rice (fat added in cooking),145,2.59,27.16,2.54,0.4,0.374,0.05,0.5,,
Rice with Gravy,{},outros,fatsecret,5149,rice with gravy,108,2.95,21.7,0.83,0.4,0.47,0.09,0.36,,
Sweet Rice with Honey,{},outros,fatsecret,4509,sweet rice with honey,140,2.52,31.24,0.26,0.4,0.343,5.07,0.07,,
White Rice (Fat Added in Cooking),{},outros,fatsecret,4530,white rice (fat added in cooking),145,2.59,27.16,2.54,0.4,0.374,0.05,0.5,,
White Rice (Fat Not Added in Cooking),{},outros,fatsecret,4503,white rice (fat not added in cooking),129,2.66,27.9,0.28,0.4,0.365,0.05,0.08,,
"White Rice (Glutinous, Cooked)",{},outros,fatsecret,39729,"white rice (glutinous, cooked)",97,2.02,21.09,0.19,1,0.005,0.05,0.04,,
"White Rice (Long-Grain, Cooked)",{},outros,fatsecret,39719,"white rice (long-grain, cooked)",130,2.69,28.17,0.28,0.4,0.001,0.05,0.08,,
"White Rice (Long-Grain, Dry, Enriched, Precooked or Instant, Prepared)",{},outros,fatsecret,39723,"white rice (long-grain, dry, enriched, precooked or instant, prepared)",117,2.18,25.1,0.5,0.6,0.004,0,0.02,,
