name,name_en,brands,categories,category,source,external_id,countries
TABASCO Molho de Pimenta Jalapeño,,TABASCO,en:condiments; en:sauces; en:hot-sauces; pt:groceries,molhos_temperos,openfoodfacts,0011210009530,en:brazil; en:morocco
TABASCO Molho de Pimenta Vermelha Original,Tabasco vermelho,TABASCO,en:condiments; en:sauces; pt:molhos-picantes,molhos_temperos,openfoodfacts,0011210115606,en:brazil
Chex rice,Chex rice,General Mills,en:plant-based-foods-and-beverages; en:plant-based-foods; en:breakfasts; en:cereals-and-potatoes; en:cereals-and-their-products,bebidas,openfoodfacts,0016000487956,en:brazil; en:united-kingdom
Feijão Preto Combrasil,Feijão Preto Combrasil,COMBRASIL,,outros,openfoodfacts,00112846,en:brazil
Puff cheese flavored snacks,Puff cheese flavored snacks,Cheetos,en:snacks; en:salty-snacks; en:appetizers; en:biscuits-and-crackers; en:crackers-appetizers,doces,openfoodfacts,0028400435031,en:brazil; en:france
Peter Pan Peanut Butter Crunchy,Peanut butter,ConAgra Foods,en:plant-based-foods-and-beverages; en:plant-based-foods; en:legumes-and-their-products; en:breakfasts; en:spreads,bebidas,openfoodfacts,0045300000558,en:brazil; en:france; en:united-states
Natural Spring Water,Natural Spring Water,Poland Spring,en:beverages; en:waters; en:spring-waters; en:mineral-waters,bebidas,openfoodfacts,0075720431151,en:brazil; en:france; en:united-states
Whiskey 1 Litre,Whiskey 1 Litre,"Jack Daniels, Jack Daniel's",,outros,openfoodfacts,0082184089996,en:brazil
Chips,,"Great Value,Wal Mart Canada,Super Pufft Snacks",pt:salgadinho-de-batata,outros,openfoodfacts,0605388888150,en:brazil
Benefiber,Benefiber,Novartis,,outros,openfoodfacts,0886790018872,en:brazil
"Vegan Vitamin B12 Sublingual Deva Vegan Tablets, 90 CT",Vegan B12,Deva,,outros,openfoodfacts,0895634000218,en:brazil
Néstor,"Dark chocolate covered pretzels with peppermint pieces, peppermint",Nestlé,en:snacks; en:salty-snacks; en:appetizers; en:biscuits-and-crackers; en:crackers-appetizers,doces,openfoodfacts,11117780,en:brazil; en:france; en:morocco
Queijo Parmesão Ralado,,Queijos Scala,en:dairies; en:fermented-foods; en:fermented-milk-products; en:cheeses; en:grated-cheese,laticinios,openfoodfacts,11794752,en:brazil
Mega soy,mega soy,,,outros,openfoodfacts,18989407,en:brazil
Moelleux de veau,,Balkis,en:dairies; en:fermented-foods; en:fermented-milk-products; en:cheeses,laticinios,openfoodfacts,2000000038827,en:brazil
Pão francês,pão francês,Bramil,,outros,openfoodfacts,2006600003333,en:brazil
Bonbon à la Sève de Pin,Bonbons à la sève de pin,"La Vosgienne, Mondelez",en:snacks; en:sweet-snacks; en:cocoa-and-its-products; en:confectioneries; en:chocolate-candies,doces,openfoodfacts,3014680009175,en:belgium; en:brazil; en:canada
