name,name_pt,name_en,aliases,barcode,brands,categories,category,source,countries,calories_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sodium_100g,sugar_100g,saturated_fat_100g
Beef Fried Rice,,,{},5102,,,outros,fatsecret,,175,6.18,21.18,7.07,0.7,0.326,0.71,1.62
Converted White Rice (Fat Not Added in Cooking),,,{},4506,,,outros,fatsecret,,122,2.88,25.83,0.37,0.9,0.331,0.11,0.07
Cooked Sticky White Rice,,,{},17456367,,,outros,fatsecret,,147.62,2.86,33.81,0.48,3,0.01,0,0
Cooked White Jasmine Rice,,,{},4810023,,,outros,fatsecret,,4054.05,81.08,891.89,0,0,0,0,0
Cooked White Rice with Black Bean Sauce,,,{},42667724,,,outros,fatsecret,,120,1.82,26.18,1.09,8,0.97,4,0.5
Cooked White Rice with Black Rice,,,{},75983565,,,outros,fatsecret,,152.38,2.86,35.24,0,1,0,0,0
Cooked White Rice with Sprouted Brown Rice,,,{},71737264,,,outros,fatsecret,,133.33,3.33,28.57,0.71,11,0.005,0,0
Creamed Rice,,,{},5151,,,outros,fatsecret,,122,2.97,22.1,2.09,0.3,0.407,1.38,0.66
Fried Rice,,,{},5099,,,outros,fatsecret,,168,6.3,21.06,6.23,0.7,0.415,0.76,1.14
Instant White Rice,,,{},4504,,,outros,fatsecret,,116,2.16,24.87,0.5,0.6,0.353,0,0.02
Instant White Rice (Fat Added in Cooking),,,{},4531,,,outros,fatsecret,,132,2.11,24.24,2.66,0.6,0.361,0,0.42
Instant White Rice (Fat Not Added in Cooking),,,{},4505,,,outros,fatsecret,,116,2.16,24.87,0.5,0.6,0.353,0,0.02
Jasmine Rice (Cooked),,,{},17905017,,,outros,fatsecret,,170,3.81,32.14,2.5,0.5,0.135,0.05,0.49
Meatless Fried Rice,,,{},5098,,,outros,fatsecret,,151,4.23,20.97,5.48,1,0.425,1.12,0.93
Organic Cooked White Rice,,,{},3344762,,,outros,fatsecret,,142.86,2.86,30.48,0,0,0.002,0,0
