 schemaname |     tablename      |              indexname               |                                                  indexdef                                                   
------------+--------------------+--------------------------------------+-------------------------------------------------------------------------------------------------------------
 public     | ai_conversations   | ai_conversations_pkey                | CREATE UNIQUE INDEX ai_conversations_pkey ON public.ai_conversations USING btree (id)
 public     | ai_conversations   | ix_ai_conversations_external_chat_id | CREATE INDEX ix_ai_conversations_external_chat_id ON public.ai_conversations USING btree (external_chat_id)
 public     | ai_conversations   | ix_ai_conversations_user_id          | CREATE INDEX ix_ai_conversations_user_id ON public.ai_conversations USING btree (user_id)
 public     | alembic_version    | alembic_version_pkc                  | CREATE UNIQUE INDEX alembic_version_pkc ON public.alembic_version USING btree (version_num)
 public     | foods              | ix_foods_category                    | CREATE INDEX ix_foods_category ON public.foods USING btree (category)
 public     | foods              | ix_foods_external_id                 | CREATE INDEX ix_foods_external_id ON public.foods USING btree (external_id)
 public     | foods              | ix_foods_name                        | CREATE INDEX ix_foods_name ON public.foods USING btree (name)
 public     | foods              | ix_foods_search_trgm                 | CREATE INDEX ix_foods_search_trgm ON public.foods USING gin (search_text gin_trgm_ops)
 public     | foods              | taco_foods_name_key                  | CREATE UNIQUE INDEX taco_foods_name_key ON public.foods USING btree (name)
 public     | foods              | taco_foods_pkey                      | CREATE UNIQUE INDEX taco_foods_pkey ON public.foods USING btree (id)
 public     | hydration_logs     | hydration_logs_pkey                  | CREATE UNIQUE INDEX hydration_logs_pkey ON public.hydration_logs USING btree (id)
 public     | hydration_logs     | ix_hydration_logs_date               | CREATE INDEX ix_hydration_logs_date ON public.hydration_logs USING btree (date)
 public     | hydration_logs     | ix_hydration_logs_user_id            | CREATE INDEX ix_hydration_logs_user_id ON public.hydration_logs USING btree (user_id)
 public     | meal_items         | ix_meal_items_food_id                | CREATE INDEX ix_meal_items_food_id ON public.meal_items USING btree (food_id)
 public     | meal_items         | ix_meal_items_meal_id                | CREATE INDEX ix_meal_items_meal_id ON public.meal_items USING btree (meal_id)
 public     | meal_items         | meal_items_pkey                      | CREATE UNIQUE INDEX meal_items_pkey ON public.meal_items USING btree (id)
 public     | meals              | ix_meals_date                        | CREATE INDEX ix_meals_date ON public.meals USING btree (date)
 public     | meals              | ix_meals_user_id                     | CREATE INDEX ix_meals_user_id ON public.meals USING btree (user_id)
 public     | meals              | meals_pkey                           | CREATE UNIQUE INDEX meals_pkey ON public.meals USING btree (id)
 public     | mood_logs          | ix_mood_logs_date                    | CREATE INDEX ix_mood_logs_date ON public.mood_logs USING btree (date)
 public     | mood_logs          | ix_mood_logs_user_id                 | CREATE INDEX ix_mood_logs_user_id ON public.mood_logs USING btree (user_id)
 public     | mood_logs          | mood_logs_pkey                       | CREATE UNIQUE INDEX mood_logs_pkey ON public.mood_logs USING btree (id)
 public     | notifications      | ix_notifications_user_id             | CREATE INDEX ix_notifications_user_id ON public.notifications USING btree (user_id)
 public     | notifications      | notifications_pkey                   | CREATE UNIQUE INDEX notifications_pkey ON public.notifications USING btree (id)
 public     | push_subscriptions | ix_push_subscriptions_user_id        | CREATE INDEX ix_push_subscriptions_user_id ON public.push_subscriptions USING btree (user_id)
 public     | push_subscriptions | push_subscriptions_endpoint_key      | CREATE UNIQUE INDEX push_subscriptions_endpoint_key ON public.push_subscriptions USING btree (endpoint)
 public     | push_subscriptions | push_subscriptions_pkey              | CREATE UNIQUE INDEX push_subscriptions_pkey ON public.push_subscriptions USING btree (id)
 public     | reminders          | ix_reminders_user_id                 | CREATE INDEX ix_reminders_user_id ON public.reminders USING btree (user_id)
 public     | reminders          | reminders_pkey                       | CREATE UNIQUE INDEX reminders_pkey ON public.reminders USING btree (id)
 public     | user_profiles      | user_profiles_pkey                   | CREATE UNIQUE INDEX user_profiles_pkey ON public.user_profiles USING btree (id)
 public     | user_profiles      | user_profiles_user_id_key            | CREATE UNIQUE INDEX user_profiles_user_id_key ON public.user_profiles USING btree (user_id)
 public     | users              | ix_users_email                       | CREATE UNIQUE INDEX ix_users_email ON public.users USING btree (email)
 public     | users              | users_pkey                           | CREATE UNIQUE INDEX users_pkey ON public.users USING btree (id)
 public     | weight_logs        | ix_weight_logs_date                  | CREATE INDEX ix_weight_logs_date ON public.weight_logs USING btree (date)
 public     | weight_logs        | ix_weight_logs_user_id               | CREATE INDEX ix_weight_logs_user_id ON public.weight_logs USING btree (user_id)
 public     | weight_logs        | weight_logs_pkey                     | CREATE UNIQUE INDEX weight_logs_pkey ON public.weight_logs USING btree (id)
(36 rows)

